azon;szoto;szofaj;gyakori
1;abbahagy;ige;12452
2;ablak;fn;70943
3;ábra;fn;45422
4;ábrázol;ige;21604
5;ábrázolás;fn;14234
6;abszolút;mn;23323
7;ad;ige;742526
8;adag;fn;14061
9;ádám;fn;16036
10;adás;fn;24423
11;adat;fn;342387
12;adatbázis;fn;57388
13;adatlap;fn;29000
14;adatszolgáltatás;fn;12423
15;adminisztráció;fn;12878
16;adminisztrátor;fn;253198
17;adó;fn;74646
18;adó;mn;26759
19;adódik;ige;55994
20;adóhatóság;fn;13290
21;adókedvezmény;fn;18261
22;adomány;fn;17408
23;adományoz;ige;18178
24;adósság;fn;10999
25;adott;mn;238209
26;adottság;fn;31453
27;adózás;fn;14256
28;áfa;fn;29581
29;ág;fn;36644
30;ágazat;fn;36176
31;ágazati;mn;13273
32;aggodalom;fn;14513
33;aggódik;ige;16518
34;ágnes;fn;14940
35;agresszív;mn;11006
36;agy;fn;32122
37;ágy;fn;47608
38;ah;fn;155664
39;ahogy;hsz;213639
40;ahogyan;hsz;49024
41;ahol;hsz;399003
42;ahonnan;hsz;18625
43;ahova;hsz;10591
44;ahová;hsz;21069
45;ajándék;fn;49971
46;ajándékoz;ige;11428
47;ajánl;ige;148661
48;ajánlás;fn;36313
49;ajánlat;fn;91541
50;ajánlattevő;fn;21879
51;ajánlott;mn;23430
52;ajk;fn;15321
53;ajtó;fn;72553
54;akad;ige;44311
55;akadály;fn;33513
56;akadályoz;ige;28923
57;akadémia;fn;26083
58;akar;ige;464918
59;akár;hsz;141128
60;akarat;fn;46210
61;akárcsak;hsz;15629
62;akció;fn;55951
63;akkor;hsz;1151753
64;akkora;mn;22452
65;akkori;mn;31981
66;akkoriban;hsz;17893
67;aktív;mn;65607
68;aktivál;ige;27489
69;aktivitás;fn;15800
70;aktuális;mn;49270
71;al;fn;29927
72;alábbi;fn;38902
73;alábbi;mn;78602
74;alacsony;mn;105691
75;aláír;ige;24712
76;aláírás;fn;76203
77;alak;fn;56314
78;alakít;ige;79491
79;alakítás;fn;16435
80;alakú;mn;21094
81;alakul;ige;138556
82;alakulás;fn;30731
83;alany;fn;10582
84;alap;fn;674847
85;alapanyag;fn;17450
86;alapelv;fn;35791
87;alapfokú;mn;10277
88;alapít;ige;33860
89;alapítás;fn;14244
90;alapító;fn;12605
91;alapító;mn;26631
92;alapítvány;fn;95782
93;alapképzés;fn;11770
94;alapos;mn;55835
95;alapoz;ige;30592
96;alapszabály;fn;25412
97;alapterület;fn;10361
98;alapú;mn;16766
99;alapul;ige;54857
100;alapvető;mn;100244
101;alapvetően;hsz;46985
102;alátámaszt;ige;14001
103;albert;fn;10771
104;album;fn;10756
105;áldás;fn;15629
106;áldoz;ige;14145
107;áldozat;fn;63020
108;alelnök;fn;26602
109;alig;hsz;87995
110;aligha;hsz;16644
111;alkalmas;mn;131212
112;alkalmatlan;mn;11911
113;alkalmaz;ige;137064
114;alkalmazás;fn;144573
115;alkalmazható;mn;25947
116;alkalmazkodik;ige;16510
117;alkalmazott;fn;30697
118;alkalmazott;mn;43578
119;alkalmi;mn;12678
120;alkalom;fn;201930
121;alkatrész;fn;19294
122;alkohol;fn;17250
123;alkot;ige;84647
124;alkotás;fn;54991
125;alkotmány;fn;40753
126;alkotmánybíróság;fn;18883
127;alkotmányos;mn;26845
128;alkotó;mn;19994
129;alkotó;fn;25723
130;áll;ige;563402
131;állam;fn;184176
132;államháztartás;fn;15151
133;állami;mn;180090
134;államigazgatás;fn;18774
135;állampolgár;fn;52379
136;állampolgári;mn;11920
137;állampolgárság;fn;16511
138;államtitkár;fn;45695
139;állandó;mn;115824
140;állapít;ige;57528
141;állapot;fn;169214
142;állás;fn;62026
143;állásfoglalás;fn;25025
144;álláspont;fn;76260
145;állat;fn;116869
146;állít;ige;178795
147;állítás;fn;37361
148;állítható;mn;10295
149;állítólag;hsz;17338
150;álló;mn;150156
151;állomány;fn;55403
152;állomás;fn;39350
153;alma;fn;12459
154;álmodik;ige;16969
155;álom;fn;60435
156;alpolgármester;fn;11764
157;alsó;mn;43019
158;alszik;ige;46016
159;általában;hsz;226677
160;általános;mn;228010
161;alternatív;mn;17603
162;alternatíva;fn;17175
163;alvás;fn;11631
164;amatőr;mn;11375
165;amely;fn;1616977
166;amelyik;mn;47559
167;amennyire;hsz;13504
168;amerika;fn;28540
169;amerikai;mn;93543
170;ami;fn;1352315
171;amiért;hsz;11658
172;amikor;hsz;554859
173;amilyen;fn;38227
174;amint;hsz;68779
175;amúgy;hsz;34731
176;andrás;fn;61338
177;anglia;fn;15692
178;angol;fn;10201
179;angol;mn;121102
180;angyal;fn;23895
181;anna;fn;16261
182;annál;hsz;73591
183;antal;fn;20026
184;anya;fn;95173
185;anyag;fn;290201
186;anyagi;mn;90675
187;anyanyelv;fn;48204
188;anyanyelvi;mn;28132
189;annyira;hsz;92420
190;anyuka;fn;14072
191;apa;fn;84274
192;ápol;ige;12655
193;ápolás;fn;22437
194;apostol;fn;18696
195;április;fn;69439
196;apró;mn;51016
197;ár;fn;221408
198;arab;mn;11017
199;áram;fn;13109
200;áramlás;fn;11554
201;arany;fn;44362
202;arány;fn;132747
203;arányos;mn;15505
204;arat;ige;14393
205;árbevétel;fn;14035
206;arc;fn;89950
207;arculat;fn;13456
208;árfolyam;fn;15413
209;árnyék;fn;19204
210;árpád;fn;22687
211;árt;ige;23460
212;ártatlan;mn;11502
213;áru;fn;45399
214;áruház;fn;17972
215;árul;ige;16984
216;árvíz;fn;10928
217;asszony;fn;87569
218;asztal;fn;58087
219;átad;ige;46225
220;átadás;fn;33803
221;átalakít;ige;15813
222;átalakítás;fn;37707
223;átalakul;ige;12373
224;átalakulás;fn;24829
225;átél;ige;16246
226;átfogó;mn;34406
227;áthelyez;ige;10909
228;átlag;fn;52311
229;átlagos;mn;70825
230;átlát;ige;14601
231;átmegy;ige;10339
232;átmenet;fn;10227
233;átmeneti;mn;28764
234;atomerőmű;fn;11762
235;áttekint;ige;29026
236;attila;fn;49068
237;attól;hsz;19805
238;átutalás;fn;14448
239;átvesz;ige;30552
240;átvétel;fn;25477
241;atya;fn;45016
242;augusztus;fn;70030
243;ausztria;fn;23633
244;autó;fn;114853
245;autóbusz;fn;16810
246;automatikus;mn;58310
247;autonómia;fn;13744
248;autópálya;fn;24381
249;avat;ige;12094
250;avatar;mn;35896
251;az;hsz;10079
252;azelőtt;hsz;11003
253;aznap;hsz;11309
254;azonnal;hsz;81498
255;azonnali;mn;18767
256;azonos;mn;105066
257;azonosít;ige;40465
258;azonosító;fn;28592
259;aztán;hsz;174324
